406,150
407,2171
408,1185
409,2155
410,2742
411,3558
412,2976
413,9998
414,189
415,2511
416,3306
417,3607
418,704
419,495
420,1086
421,2056
422,8286
423,47
424,487
425,19
426,3110
427,2379
428,105
429,5351
430,3407
431,20019
432,8883
433,1485
434,560
435,28710
436,2396
437,622
438,3107
439,12356
440,2152
441,771
442,6002
443,8361
444,2081
445,9100
446,3095
447,3081
448,4300
449,3258
450,3945
451,1121
452,3089
453,2696
454,1908
455,3790
456,2106
457,3525
458,2736
459,2555
460,25565
461,2689
462,7777
463,2153
464,30003
465,2675
466,2264
467,16947
468,38010
469,56484
470,1819
471,2917
472,30785
473,2507
474,3569
475,2026
476,60179
477,1269
478,826
479,2564
480,8081
481,638
482,1997
483,3771
484,1581
485,3367
486,3757
487,8387
488,681
489,1808
490,1579
491,1565
492,233
493,429
494,9075
495,1156
496,8088
497,3482
498,1673
499,1042
500,3471
501,8114
502,740
503,8107
504,1002
505,10005
506,8881
507,2482
508,3118
509,8001
510,2632
511,4010
512,30005
513,3865
514,12111
515,3843
516,1281
517,10090
518,9875
519,23
520,2505
521,39
522,63
523,4002
524,1779
525,42
526,728
527,1044
528,4949
529,5222
530,1741
531,7007
532,89
533,876
534,5938
535,6801
536,6805
537,17
538,789
539,2080
540,4840
541,2404
542,8444
543,61616
544,8000
545,659
546,473
547,3339
548,2752
549,2314
550,3214
551,6690
552,759
553,2120
554,2970
555,9306
556,1310
557,11211
558,2030
559,7200
560,20000
561,3886
562,884
563,3527
564,2298
565,1356
566,2322
567,2330
568,2317
569,3478
570,1969
571,61613
572,1444
573,8004
574,37
575,2707
576,4786
577,17988
578,5038
579,2222
580,41795
581,79
582,1901
583,119
584,5560
585,8087
586,7071
587,12000
588,1234
589,10001
590,3001
591,5357
592,4782
593,999
594,5400
595,179
596,9595
597,5432
598,40001
599,9943
600,427
601,7780
602,20547
603,2223
604,1098
605,8686
606,2049
607,10162
608,4506
609,2801
610,337
611,2450
612,3426
613,691
614,2468
615,2415
616,3678
617,3130
618,2668
619,1700
620,1569
621,2328
622,1778
623,3529
624,4730
625,3635
626,2920
627,3899
628,1648
629,374
630,2725
631,1852
632,2733
633,3309
634,3575
635,938
636,1490
637,1760
638,2923
639,1216
640,8090
641,3687
642,3893
643,3321
644,3818
645,707
646,2211
647,2826
648,945
649,3062
650,170
651,2024
652,144
653,9191
654,11310
655,1033
656,8082
657,54444
658,1868
659,51863
660,435
661,3934
662,1537
663,2757
664,1058
665,100
666,48
667,2423
668,2998
669,2629
670,2332
671,3203
672,8083
